address,year,x,y,exact_date
5211 Broadway,1923.000000000000000,-87.659713999999994,41.976609000000003,1923-12-29
2859  Madison st.,1924.000000000000000,-87.697999999999993,41.880963000000001,1924-01-01
2356 Wabash Ave.,1924.000000000000000,-87.685399000000004,41.883980999999999,1924-01-01
454 E 64st,1924.000000000000000,-87.613945999999999,41.778574999999996,1924-01-01
42nd st. and Prairie ave.,1924.000000000000000,-87.619850639999996,41.818344240000002,1924-01-03
8051 S Halsted,1924.000000000000000,-87.643764000000004,41.747883999999999,1924-01-04
Chicago av and Mazart,1924.000000000000000,-87.697956559999994,41.895648889999997,1924-01-06
3354 Indiana av,1924.000000000000000,-87.621983000000000,41.833731999999998,1924-01-07
79th st. and Merrill ave.,1924.000000000000000,-87.572386260000002,41.751608539999999,1924-01-07
3639 Waveland,1924.000000000000000,-87.719126000000003,41.948163000000001,1924-01-08
455 E. 31st St.,1924.000000000000000,-87.615074000000007,41.838363000000001,1924-01-09
4509 N. Marmora Ave.,1924.000000000000000,-87.774513999999996,41.962569999999999,1924-01-09
1016 S Morgan,1924.000000000000000,-87.651269999999997,41.869188000000001,1924-01-09
3528 Halsted st,1924.000000000000000,-87.646282999999997,41.830171999999997,1924-01-11
"Halsted st, between 38th Pl and 39th st.",1924.000000000000000,-87.645964620000001,41.824021010000003,1924-01-14
710 E. 38th st.,1924.000000000000000,-87.609634000000000,41.825837000000000,1924-01-15
2000 W. Division st.,1924.000000000000000,-87.677492000000001,41.903328000000002,1924-01-16
38th & State,1924.000000000000000,-87.626438140000005,41.825540060000002,1924-01-16
1841 W. 59th st.,1924.000000000000000,-87.670816000000002,41.786563000000001,1924-01-20
2725 Indiana ave.,1924.000000000000000,-87.621855999999994,41.843981999999997,1924-01-20
1107 Cambridge,1924.000000000000000,-87.642033999999995,41.902901999999997,1924-01-20
32nd st. & Prairie ave.,1924.000000000000000,-87.620666029999995,41.836540090000000,1924-01-22
Marquette Rd & Stoney Island ave,1924.000000000000000,-87.586269380000005,41.773232049999997,1924-01-25
4010 Vincennes,1924.000000000000000,-87.613426000000004,41.821024000000001,1924-01-27
530 N. Elizabeth St.,1924.000000000000000,-87.659683000000001,41.891958000000002,1924-01-28
2968 S LaSalle,1924.000000000000000,-87.630216000000004,41.839526999999997,1924-01-29
Walton / Ashland ave.,1924.000000000000000,-87.667336460000001,41.898747440000001,1924-01-30
Spaulding av and Hirsch,1924.000000000000000,-87.709329130000000,41.906429269999997,1924-01-30
2347 Clifton,1924.000000000000000,-87.656914999999998,41.924309000000001,1924-02-01
Ashland Auditorium 1600 W. Van Buren,1924.000000000000000,-87.666910999999999,41.876511999999998,1924-02-02
434 E. 31st. St.,1924.000000000000000,-87.615202999999994,41.838636999999999,1924-02-03
